KOD_ZAMESTNANCE;KOD_PROJEKTU;DATUM;POCET_HODIN
ZAM_001;PRJ_001;1.5.2015;6
ZAM_001;PRJ_002;1.5.2015;2
ZAM_002;PRJ_002;1.5.2015;4
ZAM_002;PRJ_003;1.5.2015;3
ZAM_002;PRJ_004;1.5.2015;1
ZAM_003;PRJ_001;1.5.2015;8
ZAM_004;PRJ_004;1.5.2015;4
ZAM_005;PRJ_002;1.5.2015;8
ZAM_006;PRJ_003;1.5.2015;8
ZAM_007;PRJ_001;1.5.2015;8
ZAM_008;PRJ_004;1.5.2015;8
ZAM_009;PRJ_002;1.5.2015;4
ZAM_010;PRJ_003;1.5.2015;4
ZAM_011;PRJ_004;1.5.2015;8
ZAM_012;PRJ_001;1.5.2015;6
ZAM_001;PRJ_001;4.5.2015;4
ZAM_001;PRJ_002;4.5.2015;4
ZAM_002;PRJ_002;4.5.2015;4
ZAM_002;PRJ_003;4.5.2015;3
ZAM_002;PRJ_004;4.5.2015;1
ZAM_003;PRJ_001;4.5.2015;12
ZAM_004;PRJ_004;4.5.2015;4
ZAM_005;PRJ_002;4.5.2015;8
ZAM_006;PRJ_003;4.5.2015;8
ZAM_007;PRJ_001;4.5.2015;10
ZAM_008;PRJ_004;4.5.2015;2
ZAM_008;PRJ_003;4.5.2015;6
ZAM_009;PRJ_002;4.5.2015;4
ZAM_010;PRJ_003;4.5.2015;4
ZAM_011;PRJ_004;4.5.2015;6
ZAM_012;PRJ_001;4.5.2015;4
